borrow_id	copy_id	matric_number	borrow_date	due_date	status	extension_date	return_date	is_overdue	days_remaining	book_title	call_number	student_name	student_email	student_telegram_id
27	11	A2345678C	2025-04-04T16:00:00Z	2025-04-18T16:00:00Z	returned		2025-04-24T16:00:00Z	FALSE	0	War and Peace	800_TOL	Emma Wong	emma.wong@u.nus.edu	234567890
5	12	A5678901F	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	returned		2025-04-27T16:00:00Z	FALSE	0	1Q84	800_MUR	Michael Zhang	michael.z@u.nus.edu	567890123
28	12	A3456789D	2025-04-09T16:00:00Z	2025-04-23T16:00:00Z	returned		2025-05-04T16:00:00Z	FALSE	0	1Q84	800_MUR	David Tan	david.tan@u.nus.edu	345678901
29	13	A4567890E	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	borrowed			TRUE	-86	One Hundred Years of Solitude	800_MAR	Sarah Johnson	sarah.j@u.nus.edu	456789012
30	14	A5678901F	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	borrowed			TRUE	-81	The Handmaid's Tale	800_ATW	Michael Zhang	michael.z@u.nus.edu	567890123
6	14	A6789012G	2025-04-15T16:00:00Z	2025-04-29T16:00:00Z	returned		2025-04-28T16:00:00Z	FALSE	0	The Handmaid's Tale	800_ATW	Linda Kumar	linda.k@u.nus.edu	678901234
31	15	A6789012G	2025-03-31T16:00:00Z	2025-04-14T16:00:00Z	returned		2025-04-28T16:00:00Z	FALSE	0	American Gods	800_GAI	Linda Kumar	linda.k@u.nus.edu	678901234
7	16	A7890123H	2025-04-16T16:00:00Z	2025-04-30T16:00:00Z	returned		2025-04-29T16:00:00Z	FALSE	0	The Shining	800_KIN	James Wilson	james.w@u.nus.edu	789012345
32	16	A7890123H	2025-04-04T16:00:00Z	2025-04-18T16:00:00Z	returned		2025-05-01T16:00:00Z	FALSE	0	The Shining	800_KIN	James Wilson	james.w@u.nus.edu	789012345
33	17	A8901234J	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	borrowed			TRUE	-86	Introduction to Algorithms	001_MIT	Olivia Lee	olivia.l@u.nus.edu	890123456
34	18	A9012345K	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	borrowed			TRUE	-81	Artificial Intelligence: A Modern Approach	001_RUS	Robert Chen	robert.c@u.nus.edu	901234567
8	18	A8901234J	2025-04-17T16:00:00Z	2025-05-01T16:00:00Z	returned		2025-04-30T16:00:00Z	FALSE	0	Artificial Intelligence: A Modern Approach	001_RUS	Olivia Lee	olivia.l@u.nus.edu	890123456
35	19	A0123456L	2025-04-24T16:00:00Z	2025-05-07T16:00:00Z	borrowed			TRUE	-77	Data Science For Dummies	001_PIC	Jennifer Lim	jennifer.l@u.nus.edu	012345678
36	20	A1122334M	2025-03-31T16:00:00Z	2025-04-14T16:00:00Z	returned		2025-04-13T16:00:00Z	FALSE	0	Computer Networks	001_TAN	Alex Thompson	alex.t@u.nus.edu	112233445
15	21	A5566778Q	2025-05-04T16:00:00Z	2025-05-18T16:00:00Z	borrowed			TRUE	-66	Oxford Handbook of Clinical Medicine	610_LON	Ethan Kim	ethan.k@u.nus.edu	556677889
25	21	A5566778Q	2025-04-18T16:00:00Z	2025-05-02T16:00:00Z	returned		2025-05-01T16:00:00Z	FALSE	0	Oxford Handbook of Clinical Medicine	610_LON	Ethan Kim	ethan.k@u.nus.edu	556677889
11	22	A1122334M	2025-04-30T16:00:00Z	2025-05-14T16:00:00Z	borrowed			TRUE	-70	Sapiens: A Brief History of Humankind	300_HAR	Alex Thompson	alex.t@u.nus.edu	112233445
21	22	A1122334M	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	returned		2025-04-27T16:00:00Z	FALSE	0	Sapiens: A Brief History of Humankind	300_HAR	Alex Thompson	alex.t@u.nus.edu	112233445
16	23	A6677889R	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	borrowed			TRUE	-81	Sapiens: A Brief History of Humankind	300_HAR	Mia Patel	mia.p@u.nus.edu	667788990
12	24	A2233445N	2025-05-01T16:00:00Z	2025-05-15T16:00:00Z	borrowed			TRUE	-69	Outliers: The Story of Success	300_GLA	Sophia Park	sophia.p@u.nus.edu	223344556
22	24	A2233445N	2025-04-15T16:00:00Z	2025-04-29T16:00:00Z	returned		2025-04-28T16:00:00Z	FALSE	0	Outliers: The Story of Success	300_GLA	Sophia Park	sophia.p@u.nus.edu	223344556
17	25	A7788990S	2025-04-24T16:00:00Z	2025-05-08T16:00:00Z	borrowed			TRUE	-76	A Short History of Nearly Everything	500_BRY	Noah Anderson	noah.a@u.nus.edu	778899001
13	26	A3344556O	2025-05-02T16:00:00Z	2025-05-16T16:00:00Z	borrowed			TRUE	-68	Thinking, Fast and Slow	150_KAH	William Brown	william.b@u.nus.edu	334455667
23	26	A3344556O	2025-04-16T16:00:00Z	2025-04-30T16:00:00Z	returned		2025-04-29T16:00:00Z	FALSE	0	Thinking, Fast and Slow	150_KAH	William Brown	william.b@u.nus.edu	334455667
18	27	A8899001T	2025-04-27T16:00:00Z	2025-05-11T16:00:00Z	borrowed			TRUE	-73	Deep Work	650_NEW	Ava Martinez	ava.m@u.nus.edu	889900112
19	28	A9900112U	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	returned		2025-04-27T16:00:00Z	FALSE	0	Atomic Habits	150_CLE	Lucas Wang	lucas.w@u.nus.edu	990011223
14	29	A4455667P	2025-05-03T16:00:00Z	2025-05-17T16:00:00Z	borrowed			TRUE	-67	Grit: The Power of Passion and Perseverance	150_DUC	Isabella Garcia	isabella.g@u.nus.edu	445566778
24	29	A4455667P	2025-04-17T16:00:00Z	2025-05-01T16:00:00Z	returned		2025-04-30T16:00:00Z	FALSE	0	Grit: The Power of Passion and Perseverance	150_DUC	Isabella Garcia	isabella.g@u.nus.edu	445566778
20	30	A0011223V	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	returned		2025-05-02T16:00:00Z	FALSE	0	Start with Why	650_SIN	Ruofan Xu	ruofan.x@u.nus.edu	6640904968
request URL： http://localhost:8000/api/v1/borrowing/active?skip=0&limit=50&overdue_only=false														
